Week,Open.Price,High.Price,Low.Price,Close.Price,Average.No.of.Shares,No..of.Trades,Total.Turnover..Rs..,Spread.High.Low,Spread.Close.Open,WAP
1173,875.19,886.37,870.04,880.94,1052477,27398,924786300.2,16.33,5.75,878.68
1174,863.74,872.65,851,861.15,818359,21695,708936251.4,21.65,-2.59,866.29
1175,870.14,877.15,861.53,865.68,928804,23020,808029633.6,15.62,-4.46,869.97
1176,817.96,823.5,801.97,809.96,1015844,30175,826339758.4,21.53,-8,813.45
1177,810.11,818.22,804.38,807.87,716846,18909.6,582615731.4,13.84,-2.24,812.75
1178,819.8,822.53,814.08,817.31,578039,12484.8,473142515.4,8.45,-2.49,818.53
1179,814.98,819.6,810.51,815.34,532161,15358.8,434824996.4,9.09,0.36,817.09
1180,810.22,813.68,798.48,805.35,964447,24421.4,762828190.4,15.2,-4.87,790.95
1181,785.92,791.39,777.03,782.99,621212,18914.8,487726146.8,14.36,-2.93,785.12
1182,788.56,796.51,782.11,789.89,844174,23464.6,668479760.8,14.4,1.33,791.87
1183,799.31,803.14,792.28,796.69,621958,20286.8,495237909.8,10.86,-2.62,796.26
1184,786.96,800.35,778.89,787.96,806867,20769.2,636674098.2,21.46,1,789.07
1185,798,805.69,794.45,800.76,484444,12972.2,387952755.8,11.24,2.76,800.82
1186,810.86,818.65,801.38,808.26,541819,18435.2,439226677.6,17.27,-2.6,810.65
1187,790.84,805.55,781.97,797.19,714347,22596.8,572391385.6,23.58,6.35,801.28
1188,825.3,835.02,817.28,828.6,555082,16985.4,461523100.4,17.74,3.3,831.45
1189,853.61,858.75,838.55,846.29,876484,23759,744366448,20.2,-7.32,849.26
1190,812.01,817.25,793.3,801.79,565052,18758.4,452450990.2,23.95,-10.22,800.72
1191,826.18,840.72,821.56,834.62,982059,24518.8,815852659.2,19.16,8.44,830.76
1192,846.14,855.45,841.33,850.69,542646,13670.8,460091210.2,14.12,4.55,847.87
1193,864.03,869.02,856.83,860.95,359166,9017.8,310092026.2,12.19,-3.08,863.37
1194,848.94,856.17,839.35,848.89,266576,9763.8,225846203.2,16.82,-0.05,847.21
1195,821.48,825.51,807.37,811.3,487444,12304,396437796.4,18.14,-10.18,813.3
1196,797.04,803.51,788.07,794.25,485022,13156.2,385590957,15.44,-2.79,795
1197,777.87,779.4,755.48,766.09,734179,20179.2,563791742.2,23.92,-11.78,767.92
1198,751.16,760.8,744.59,752.44,433780,11983.4,327557441.2,16.21,1.28,755.12
1199,762.4,768.53,748.35,756.32,488750,14805.8,372424409.6,20.18,-6.08,761.99
1200,754.62,763.55,749.1,758.97,561926,15571.8,424328579.4,14.45,4.35,755.13
1201,771.55,775.13,757.27,764.95,733576,27587.8,561966440.4,17.86,-6.6,766.06
1202,741.69,744.29,727.17,733.09,915236,35367.2,673661131.4,17.12,-8.6,736.05
1203,725.97,731.23,718.03,726.45,499509,12252,362063932.2,13.2,0.48,724.84
1204,715.91,717.9,704.94,708.23,687953,24689.2,487422763.6,12.96,-7.68,708.51
1205,715.08,723.77,708.93,721.25,444838,11446.2,318944876.6,14.84,6.17,716.99
1206,728.74,734.25,723.04,726.33,250119,7151.6,182349900.6,11.21,-2.41,729.05
1207,744.9,755.77,741.74,753.14,296832,8407.6,223660488.8,14.03,8.24,753.49
1208,771.21,779.58,764.65,770.38,480613,14571.2,371951912,14.93,-0.83,773.91
1209,762.1,774.19,757.45,767.6,415344,14047.6,316036736.8,16.74,5.5,760.9
1210,766.38,775.02,754.44,765.65,608240,15043.4,465650615,20.58,-0.73,765.57
1211,815.39,825.58,804.69,812.86,654280,14252.6,534126275,20.89,-2.53,816.36
1212,801.23,813.28,792.48,801.51,657500,18250.2,528807849,20.8,0.28,804.27
1213,777.51,790.67,769.35,780.01,602223,16725,471429179,21.32,2.5,782.81
1214,801.66,806.16,794.15,799.34,783044,15029.6,625973319.8,12.01,-2.32,799.41
1215,790.46,794.32,783.94,788.54,359406,9598.4,283530720.2,10.38,-1.92,788.89
